ProductName,Power(W),Efficiency Rating
SilverStone ST50F-ESB 500W,500 W,80 Plus Bronze
Antec HCG-520M High Current Gamer 520W,520 W,80 Plus Bronze
Thermaltake Litepower 450W,450 W,80 Plus Bronze
Antec Edge 650W,650 W,80 Plus Gold
Super Flower Golden Green Pro 550W,550 W,80 Plus Gold
Xilence XQ Series 850W,850 W,80 Plus Platinum
Chieftec Nitro Series 950W,950 W,
Xilence Performance A+ 530W,530 W,80 Plus Bronze
Be quiet! Pure Power L7 300W,300 W,80 Plus
FSP FSP400-60APN 400W,400 W,80 Plus Bronze
Antec TruePower Classic 450W,450 W,80 Plus Gold
Corsair GS500,500 W,
Be quiet! System Power 7 450W,450 W,80 Plus Silver
Antec TruePower Quattro OC 1200W,1200 W,
Chieftec iArena GPA-500B8 500W,500 W,
Seasonic Platinum Series 760W,760 W,
Thermaltake Toughpower Grand Platinum 850W,850 W,80 Plus Platinum
Seasonic SS-600ES 600W,600 W,80 Plus Bronze
Chieftec Smart Series 500W,500 W,80 Plus Platinum
Seasonic Eco Series 430W,430 W,80 Plus Bronze
EVGA SuperNova GS 650W,650 W,80 Plus Gold
Thermaltake Smart DPS G 650W,650 W,80 Plus Gold
Antec TruePower 750W,750 W,80 Plus Bronze
Be quiet! Straight Power E8 CM 680W,680 W,80 Plus Silver
Thermaltake TR2 700W,700 W,
Antec EarthWatts Platinum 550W,550 W,80 Plus Platinum
Antec Neo Eco 520C 520W,520 W,80 Plus Bronze
Cooler Master MasterWatt Maker 1200W,1200 W,80 Plus Titanium
Chieftec APS-650SB 650W,650 W,80 Plus Bronze
SilverStone Evolution 2.0 850W,850 W,80 Plus Gold
Cooler Master GX Series 450W,450 W,80 Plus
Corsair RM1000,1000 W,80 Plus Gold
Be quiet! Dark Power Pro P8 900W,900 W,80 Plus Silver
Be quiet! Dark Power Pro P9 650W,650 W,80 Plus Gold
EVGA SuperNova B 750W,750 W,80 Plus Bronze
Antec Neo Eco 450C 450W,450 W,80 Plus Bronze
FSP Source 700W,700 W,80 Plus Silver
Be quiet! Straight Power 10 400W,400 W,80 Plus Gold
Antec Neo Eco 620C 620W,620 W,80 Plus Bronze
Zalman ZM600-GV 600W,600 W,
Xilence SQ Series 650W,650 W,80 Plus Platinum
Xilence CS 1000W,1000 W,80 Plus Bronze
Fractal Design Tesla R2 1000W,1000 W,80 Plus Gold
Xilence PSU 480W,480 W,
SilverStone Strider Plus 1000W,1000 W,80 Plus Silver
Zalman ZM850-HP Plus,850 W,
Chieftec iArena GPA-400B8 400W,400 W,
Thermaltake TR2 S 600W,600 W,80 Plus
Thermaltake Evo Blue 2.0 750W,750 W,80 Plus Gold
Be quiet! Efficient F1 400W,400 W,80 Plus Gold
SilverStone SST-ST1200-PT 1200W,1200 W,
Thermaltake Toughpower Grand 1050W,1050 W,80 Plus Gold
Zalman Goldrock Series 650W,650 W,80 Plus Gold
Corsair CX500M,500 W,80 Plus Bronze
Antec HCP-1200 High Current Pro 1200W,1200 W,80 Plus Gold
Be quiet! Straight Power E8 450W,450 W,
Be quiet! Pure Power L7 630W,630 W,80 Plus Bronze
Corsair RM850x,850 W,80 Plus Gold
Super Flower Leadex Gold 1600W,1600 W,80 Plus Gold
Seasonic X-Series 1250W,1250 W,80 Plus Gold
Corsair AX860i,860 W,80 Plus Platinum
Aerocool GT-1050S 1050W,1050 W,80 Plus Bronze
Corsair TX850 V2,850 W,80 Plus Bronze
Be quiet! System Power 450W,450 W,80 Plus
Chieftec Nitro II 85+ 400W,400 W,80 Plus Bronze
Chieftec iArena GPB-350S 350W,350 W,80 Plus
Be quiet! Pure Power 9 L9-350W,350 W,80 Plus Bronze
Seasonic SS650HT 650W,650 W,80 Plus Bronze
FSP Aurum Xilenser 400W,400 W,80 Plus Gold
Seasonic Prime 650 W 80+ Titanium,650 W,80 Plus Titanium
Antec Earthwatts 650W Green,650 W,80 Plus Bronze
Antec HCG-620 High Current Gamer 620W,620 W,80 Plus Bronze
Corsair CX850M,850 W,80 Plus Bronze
EVGA SuperNova T2 850 Black,850 W,80 Plus Titanium
Antec BP500U Basiq 500W,500 W,
Be quiet! Straight Power E6 600W,600 W,
Cooler Master G-Series 500W,500 W,80 Plus Bronze
Chieftec Navitas 1000W,1000 W,80 Plus Gold
Cooler Master GM-Series G450M,450 W,80 Plus Bronze
Corsair GS700,700 W,80 Plus
FSP Hyper 600W,600 W,80 Plus
Chieftec A-80 Power Supply 500W,500 W,
Chieftec A-80 650W,650 W,
Thermaltake Toughpower DPS G RGB 650W Black/Gold,650 W,80 Plus Gold
Seasonic M12II Bronze 650W,650 W,80 Plus Bronze
Seasonic SS-400H2U,400 W,80 Plus
Chieftec Nitro Series 400W,400 W,
Corsair RM850i,850 W,80 Plus Gold
Chieftec CPS-650S 650W,650 W,80 Plus Bronze
Be quiet! System Power 7 500W,500 W,80 Plus Silver
Aerocool Xpredator 400W,400 W,80 Plus Bronze
SilverStone Strider 500W,500 W,80 Plus
Thermaltake Smart DPS G 500W,500 W,80 Plus Bronze
FSP FSP400-EPN85 400W,400 W,80 Plus Bronze
Thermaltake Evo Blue 650W,650 W,
Cooler Master Silent Pro Gold 1200W,1200 W,80 Plus Gold
Thermaltake Toughpower DPS G Gold 1050W,1050 W,80 Plus Gold
