ProductName,FormFactor,CPUSocket,Chipset,MemType,Sata3Ports,PCIExpress_x16Ports,DDR3MemSlots,DDR4MemSlots
Gigabyte 6LXSG,ATX,Socket 1150,Intel H87,DDR3,,,,
ASUS P8Z77-V LE,ATX,Socket 1155,Intel Z77,DDR3,3,2,4,
Gigabyte P67A-UD4,ATX,Socket 1155,Intel P67,DDR3,2,2,4,
MSI A78M-E35 V2,Micro ATX,Socket FM2+,AMD A78,DDR3,6,1,,
Gigabyte P67A-UD5,ATX,Socket 1155,Intel P67,DDR3,2,3,4,
Gigabyte P67A-UD7,ATX,Socket 1155,Intel P67,DDR3,4,4,4,
ASRock B85M-HDS,Micro ATX,Socket 1150,Intel B85,DDR3,4,1,,
ASUS P5E3 Pro,ATX,Socket 775,Intel X48,DDR3,,,,
Gigabyte P67A-UD3,ATX,Socket 1155,Intel P67,DDR3,,,,
ASUS A8N32-SLI Deluxe,ATX,Socket 939,Nvidia nForce 4 SLI 16X,,,,,
ASUS P5Q SE,ATX,Socket 775,Intel P45,DDR2,,,,
ASRock K8NF3-VSTA,ATX,Socket 754,,DDR,,,,
MSI 975X Platinum PowerUp Edition,ATX,Socket 775,Intel 975X,DDR2,,,,
ASUS M4A785TD-V Evo/U3S6,ATX,Socket AM3,AMD 785G,DDR3,,,,
Gigabyte H110M-H,Micro ATX,Socket 1151,Intel H110,DDR4,4,1,,
MSI H110M Pro-VD,Micro ATX,Socket 1151,Intel H110,DDR4,4,1,0,2
MSI Z68A-GD80 (G3),ATX,Socket 1155,Intel Z68,DDR3,3,3,4,
ASUS P5KPL-E,ATX,Socket 775,Intel G31,DDR2,,,,
MSI B85M-P33 V3,Micro ATX,Socket 1150,Intel B85,DDR3,,,,
MSI P35 Diamond,ATX,Socket 775,Intel P35,DDR3,,,4,
MSI B85M-P33 V2,Micro ATX,Socket 1150,Intel B85,DDR3,2,1,2,0
ASUS P5KPL-C,ATX,Socket 775,Intel G31,DDR2,,,,
MSI H110M Pro-VH,Micro ATX,Socket 1151,Intel H110,DDR4,4,1,,
Gigabyte A55M-S2HP,Micro ATX,Socket FM1,AMD A55,DDR3,,,,
MSI H67MA-E45 (B3),Micro ATX,Socket 1155,Intel H67,DDR3,2,1,,
MSI P67A-GD80 (B3),ATX,Socket 1155,Intel P67,DDR3,2,3,4,
ASUS Q87M-E,Micro ATX,Socket 1150,Intel Q87,DDR3,6,2,,
Gigabyte P55-UD6,ATX,Socket 1156,Intel P55,DDR3,,,6,
Gigabyte P55-UD5,ATX,Socket 1156,Intel P55,DDR3,,,4,
Gigabyte P55-UD4,ATX,Socket 1156,Intel P55,DDR3,,,4,
Gigabyte P55-UD3,ATX,Socket 1156,Intel P55,DDR3,,,4,
Gigabyte EP35C-DS3R,ATX,Socket 775,Intel P35,DDR2+DDR3,,,,
ASUS B150M-C D3,Micro ATX,Socket 1151,Intel B150,DDR3,6,2,,
ASUS M2N-MX SE Plus,Micro ATX,Socket AM2+,Nvidia GeForce 6100,DDR2,,,,
Gigabyte PH67A-UD3,ATX,Socket 1155,Intel H67,DDR3,,,,
ASUS Maximus III Gene,Micro ATX,Socket 1156,Intel P55,DDR3,,,4,
ASUS P7H55-M Pro,Micro ATX,Socket 1156,Intel H55,DDR3,,,4,
Gigabyte 945GCM-S2L,Micro ATX,Socket 775,Intel 945GC,DDR2,,,,
ASUS P6T Deluxe V2,ATX,Socket 1366,Intel X58,DDR3,,,,
Gigabyte 78LMT-USB3,Micro ATX,Socket AM3+,AMD 760G,DDR3,0,1,,
ASRock 890GX Extreme4 R2.0,ATX,Socket AM3+,AMD 890GX,DDR3,,,,
ASRock Penryn1600SLI-110dB,ATX,Socket 775,,DDR2,,,,
Gigabyte M52L-S3P,ATX,Socket AM2,Nvidia nForce 520 LE,DDR2,,,,
ASUS P7H55D-M Pro,Micro ATX,Socket 1156,Intel H55,DDR3,,,,
ASRock Z77M,Micro ATX,Socket 1155,Intel Z77,DDR3,2,2,,
ASRock G41M-GS,Micro ATX,Socket 775,Intel G41,DDR2,,,,
ASRock Fatal1ty B150 Gaming K4/D3,ATX,Socket 1151,Intel B150,DDR3,6,2,4,0
ASUS K8V-X SE,ATX,Socket 754,VIA K8T800,,,,,
ASRock N68-GS4/USB3 FX,Micro ATX,Socket AM3+,Nvidia GeForce 7025,DDR3,,,,
ASUS P8H61-M LX R2.0,Micro ATX,Socket 1155,Intel H61,DDR3,,,,
ASRock H97M Anniversary,Micro ATX,Socket 1150,Intel H97,DDR3,6,1,,
ASUS Striker II NSE,ATX,Socket 775,Nvidia nForce 790i Ultra SLI,DDR3,,,,
ASUS P5G41T-M LX V2,Micro ATX,Socket 775,Intel G41,,,,,
ASRock H81 Pro-G,ATX,Socket 1150,Intel H81,DDR3,,,,
Gigabyte 945GCM-S2C,Micro ATX,Socket 775,Intel 945GC,DDR2,,,,
ASUS H170-Plus D3,ATX,Socket 1151,Intel H170,DDR3,4,2,,
Gigabyte P41T-D3,ATX,Socket 775,Intel G41,DDR3,,,,
MSI PH67S-C43 (B3),ATX,Socket 1155,Intel H67,DDR3,2,1,,
ASUS P5K3 Premium Black Pearl Edition,ATX,Socket 775,Intel P35,,,,0,
ASRock Z77 Pro4-M,Micro ATX,Socket 1155,Intel Z77,DDR3,4,3,,
Gigabyte Z68A-D3,ATX,Socket 1155,Intel Z68,DDR3,2,1,,
ASUS Gryphon Z87,Micro ATX,Socket 1150,Intel Z87,DDR3,6,3,4,
Gigabyte MX31-BS0,Micro ATX,Socket 1151,Intel C232,DDR4,,,,
ASRock X99 Extreme11,ATX,Socket 2011-3,Intel X99,DDR4,18,5,0,8
ASUS M2V-MX SE,Micro ATX,Socket AM2,,,,,,
MSI P7N Diamond,ATX,Socket 775,Nvidia nForce 780i SLI,DDR2,,,0,
ASRock A75 Pro4/MVP,ATX,Socket FM1,AMD A75,DDR3,5,2,,
ASUS P5N-EM HDMI,Micro ATX,Socket 775,Nvidia nForce 630i,DDR2,,,,
ASUS B85-Pro Gamer,ATX,Socket 1150,Intel B85,DDR3,4,1,,
ASRock NF6-GLAN,ATX,Socket AM2+,Nvidia GeForce 6150,DDR2,,,,
ASUS H110M-A D3,Micro ATX,Socket 1151,Intel H110,DDR3,4,1,,
ASUS P5KPL/1600,ATX,Socket 775,Intel G31,DDR2,,,,
ASRock B150A-X1,ATX,Socket 1151,Intel B150,DDR4,6,2,,
ASUS H110M-Plus D3,Micro ATX,Socket 1151,Intel H110,DDR3,4,1,,
MSI P35 Neo-F,ATX,Socket 775,Intel P35,DDR2,,,0,
Gigabyte X79-UD5,ATX,Socket 2011,Intel X79,DDR3,6,3,8,
ASRock 970DE3/U3S3,ATX,Socket AM3+,AMD 770,DDR3,2,1,,
Gigabyte AM1M-S2H,Micro ATX,Socket AM1,,DDR3,2,1,2,
Gigabyte X79-UD3,ATX,Socket 2011,Intel X79,DDR3,6,4,4,
ASUS P5B-VM,Micro ATX,Socket 775,Intel G965,DDR2,,,,
ASUS P8Q77-M2,Micro ATX,Socket 1155,Intel Q77,DDR3,2,1,,
Gigabyte H61M-USB3-B3,Micro ATX,Socket 1155,Intel H61,DDR3,,,,
Gigabyte Z97X Gaming GT,ATX,Socket 1150,Intel Z97,DDR3,8,4,4,
ASUS P6T7 WS SuperComputer,ATX,Socket 1366,Intel X58,DDR3,,,,
ASRock X99 WS-E,ATX,Socket 2011-3,Intel X99,DDR4,12,7,0,8
Gigabyte AM1M-S2P,Micro ATX,Socket AM1,,DDR3,2,1,,
Gigabyte P67X-UD3-B3,ATX,Socket 1155,Intel P67,DDR3,4,1,,
ASUS M4N78-AM V2,Micro ATX,Socket AM2+,Nvidia GeForce 8200,DDR2,,,,
ASUS H170-Pro,ATX,Socket 1151,Intel H170,DDR4,6,2,,
ASUS P8H61-M LE (B3),Micro ATX,Socket 1155,Intel H61,DDR3,,,,
MSI 870-G45,ATX,Socket AM3,AMD 770,DDR3,,,,
ASUS P7P55D-E Deluxe,ATX,Socket 1156,Intel P55,DDR3,,,,
ASRock H55 Pro,ATX,Socket 1156,Intel H55,DDR3,,,,
ASUS P8P67 Deluxe (B3),ATX,Socket 1155,Intel P67,DDR3,4,3,4,
ASRock A785GMH/128M,Micro ATX,Socket AM2+,AMD 785G,DDR2,,,,
MSI NF750-G55,ATX,Socket AM3,Nvidia nForce 750a SLI,DDR3,,,,
ASRock C226 WS+,ATX,Socket 1150,Intel C226,DDR3,,,,
ASRock P43Twins1600,ATX,Socket 775,Intel P43,DDR2+DDR3,,,,
MSI Z87 MPower SP,ATX,Socket 1150,Intel Z87,DDR3,8,3,,
ASUS P8Z68 Deluxe Gen3,ATX,Socket 1155,Intel Z68,DDR3,4,3,,
Gigabyte 73VM-S2,Micro ATX,Socket 775,,DDR2,,,,
