ProductName,Capacity (Total),ModuleNum,MemType,MemSpeed
Geil Evo Veloce 8GB DDR3-1333 CL9 kit,8 GB,2 x,DDR3,1333 MHz
Team Xtreem Vulcan 16GB DDR3-2133 CL11 quad kit,16 GB,4 x,DDR3,2133 MHz
Corsair Vengeance 32GB DDR3-1866 CL10 quad kit,32 GB,4 x,DDR3,1866 MHz
G.Skill Ripjaws 8GB DDR3-1066 CL7 kit,8 GB,2 x,DDR3,1066 MHz
Geil 16GB DDR3-1333 CL9 quad kit,16 GB,4 x,DDR3,1333 MHz
Corsair Vengeance LPX Black 16GB DDR4-3733 CL17 quad kit,16 GB,4 x,DDR4,3733 MHz
Team Xtreem Series 32GB DDR3-2400 CL10 quad kit,32 GB,4 x,DDR3,2400 MHz
Corsair Vengeance Pro 8GB DDR3-2933 CL12 kit,8 GB,2 x,DDR3,2933 MHz
Geil Evo Forza Black/Red 16GB DDR4-2133 CL15 quad kit,16 GB,4 x,DDR4,2133 MHz
Kingston ValueRam 6GB DDR3-1333 triple kit,6 GB,3 x,DDR3,1333 MHz
OCZ Reaper HPC 8GB DDR3-1600 CL8 kit,8 GB,2 x,DDR3,1600 MHz
Kingston HyperX Fury Red 8GB DDR3-1333 CL9 kit,8 GB,2 x,DDR3,1333 MHz
Kingston HyperX Anniversary 32GB DDR3-1600 CL9 quad kit,32 GB,4 x,DDR3,1600 MHz
Kingston HyperX Fury Black 8GB DDR3-1866 CL10 kit,8 GB,2 x,DDR3,1866 MHz
Kingston ValueRam 48GB DDR3-1333 CL9 ECC Registered triple kit,48 GB,3 x,DDR3,1333 MHz
Kingston HyperX Savage 16GB DDR3-2133MHz CL11 kit,16 GB,2 x,DDR3,2133 MHz
Geil Evo Veloce 32GB DDR3-1866 CL10 quad kit,32 GB,4 x,DDR3,1866 MHz
Corsair Vengeance LPX Red 16GB DDR4-3300 CL16 quad kit,16 GB,4 x,DDR4,3300 MHz
Corsair Dominator Platinum 64GB DDR4-2400 CL14 quad kit,64 GB,4 x,DDR4,2400 MHz
Crucial 12GB DDR3-1600 CL11 VLP ECC Registered Triple kit,12 GB,3 x,DDR3,1600 MHz
G.Skill Ripjaws F3 4GB DDR3-1066 CL8 kit,4 GB,2 x,DDR3,1333 MHz
Kingston HyperX Fury White 8GB DDR3-1600 CL10 kit,8 GB,2 x,DDR3,1600 MHz
Corsair Vengeance Red 8GB DDR3-1600 CL9 kit,8 GB,2 x,DDR3,1600 MHz
Adata Premier 8GB DDR3-1333 CL9 kit,8 GB,2 x,DDR3,1333 MHz
G.Skill Ripjaws IV 16GB DDR4-2133 CL15 kit,16 GB,2 x,DDR4,2133 MHz
OCZ Blade 6GB DDR3-2133 triple kit,6 GB,3 x,DDR3,2133 MHz
G.Skill Ripjaws V Red 8GB DDR4-2133 CL15 kit,8 GB,2 x,DDR4,2133 MHz
Corsair Dominator Platinum 16GB DDR4-2800 CL14 kit,16 GB,2 x,DDR4,2800 MHz
Adata XPG Xtreme 16GB DDR3-1866 CL10 kit,16 GB,2 x,DDR3,1866 MHz
Kingston ValueRam 16GB DDR3-1333 ECC Registered kit,16 GB,2 x,DDR3,1333 MHz
G.Skill Trident Z Black/Silver 32GB DDR4-3200 CL14 kit,32 GB,2 x,DDR4,3200 MHz
Crucial 16GB DDR4-2133 CL15 kit,16 GB,2 x,DDR4,2133 MHz
G.Skill Ripjaws IV Black 64GB DDR4-2400 CL15 octo kit,64 GB,8 x,DDR4,2400 MHz
Geil Evo Veloce 8GB DDR3-1866 CL10 kit,8 GB,2 x,DDR3,1866 MHz
Kingston HyperX Fury Red 16GB DDR3-1600 CL10 kit,16 GB,2 x,DDR3,1600 MHz
Corsair Dominator DHX+ 4GB DDR3-1600 CL8 kit,4 GB,2 x,DDR3,1600 MHz
Geil Super Luce White/Blue 16GB DDR4-3000 CL15 kit,16 GB,2 x,DDR4,3000 MHz
Kingston HyperX Genesis Overclockers.uk Edition Gold 8GB DDR3-2133 CL11 kit,8 GB,2 x,DDR3,2133 MHz
Corsair XMS2 Dominator 8GB DDR3-1333 CL7 quad kit,8 GB,4 x,DDR3,1333 MHz
Geil Black Dragon 4GB DDD3-1333 CL6 kit,4 GB,2 x,DDR3,1333 MHz
Geil Evo Potenza Onyx Black 32GB DDR3-2133 CL11 quad kit,32 GB,4 x,DDR3,2133 MHz
Geil Super Luce White/Blue 16GB DDR4-3000 CL15 quad kit,16 GB,4 x,DDR4,3000 MHz
Adata XPG Gold V2 16GB DDR3-2400 CL11 kit,16 GB,2 x,DDR3,2400 MHz
Kingston HyperX Black 8GB DDR3-1600 CL9 XMP kit,8 GB,2 x,DDR3,1600 MHz
G.Skill Ripjaws V Red 32GB DDR4-2800 CL15 quad kit,32 GB,4 x,DDR4,2800 MHz
Geil Value 6GB DDR3-1333 CL7 triple kit,6 GB,3 x,DDR3,1333 MHz
Kingston HyperX 6GB DDR3-1866 CL9 XMP Tall HS triple kit,6 GB,3 x,DDR3,1866 MHz
Corsair Vengeance Green 16GB DDR3-1600 CL9 kit,16 GB,2 x,DDR3,1600 MHz
G.Skill Ripjaws V Red 32GB DDR4-3333 CL16 quad kit,32 GB,4 x,DDR4,3333 MHz
Corsair Dominator Platinum 64GB DDR4-3333 CL16 quad kit + Fan,64 GB,4 x,DDR4,3333 MHz
Corsair Dominator Platinum 16GB DDR3-1866 CL9 kit (2x8),16 GB,2 x,DDR3,1866 MHz
G.Skill Aegis 16GB DDR4-2400 CL15 kit,16 GB,2 x,DDR4,2400 MHz
Crucial Ballistix Tactical 8GB DDR4-3000 CL15 kit,8 GB,2 x,DDR4,3000 MHz
Corsair Triple3X Dominator 6GB DDR3-1866 CL9 triple kit,6 GB,3 x,DDR3,1866 MHz
G.Skill Trident Z White/Silver 16GB DDR4-3200 CL14 kit,16 GB,2 x,DDR4,3200 MHz
Corsair XMS3 16GB DDR3-1333 CL9 quad kit,16 GB,4 x,DDR3,1333 MHz
Corsair Dominator Platinum 32GB DDR4-3600 CL16 quad kit,32 GB,4 x,DDR4,3600 MHz
G.Skill Sniper 16GB DDR3-2133 CL9 quad kit,16 GB,4 x,DDR3,2133 MHz
Kingston HyperX 4GB DDR3-1333 CL9 kit,4 GB,2 x,DDR3,1333 MHz
Geil Super Luce White/Red 16GB DDR4-3000 CL15 kit,16 GB,2 x,DDR4,3000 MHz
Crucial 16GB DDR4-2133 CL15 ECC kit,16 GB,2 x,DDR4,2133 MHz
Geil Evo Two 4GB DDR3-1600 CL7 kit,4 GB,2 x,DDR3,1600 MHz
Corsair Vengeance Black/Blue LED 32GB DDR4-3000 CL15 kit,32 GB,2 x,DDR4,3000 MHz
Team Dark Series Red 6GB DDR3-1866 CL10 kit,6 GB,2 x,DDR3,1866 MHz
Crucial Ballistix Sport 12GB DDR3-1600 CL10 triple kit,12 GB,3 x,DDR3,1600 MHz
Adata XPG 16GB DDR3-1600 CL11 kit,16 GB,2 x,DDR3,1600 MHz
Kingston ValueRam 6GB DDR3-1333 CL9 ECC triple kit,6 GB,3 x,DDR3,1333 MHz
Kingston HyperX Genesis Overclockers.uk Edition Red 8GB DDR3-2133 CL11 kit,8 GB,2 x,DDR3,2133 MHz
Geil Evo Leggera 8GB DDR3-1333 CL9 kit,8 GB,2 x,DDR3,1333 MHz
Adata Plus V2 6GB DDR3-1600 CL8 triple kit,6 GB,3 x,DDR3,1600 MHz
Adata XPG Gaming V2 6GB DDR3-2133 CL9 triple kit,6 GB,3 x,DDR3,2133 MHz
Kingston HyperX 6GB DDR3-2000 CL8 XMP triple kit,6 GB,3 x,DDR3,2000 MHz
G.Skill Ripjaws V 64GB DDR4-2800 CL15 quad kit,64 GB,4 x,DDR4,2800 MHz
Geil EVO ONE 4GB DDR2-800 CL4 kit,4 GB,2 x,DDR2,800 MHz
Geil Super Luce White 16GB DDR4-3400 CL16 quad kit,16 GB,4 x,DDR4,3400 MHz
Kingston HyperX Genesis 8GB DDR3-1866 CL9 quad kit,8 GB,4 x,DDR3,1866 MHz
G.Skill TridentX 16GB DDR3-2800 CL12 kit,16 GB,2 x,DDR3,2800 MHz
Kingston HyperX Blu 8GB DDR3-1333 CL9 kit,8 GB,2 x,DDR3,1333 MHz
Kingston HyperX Genesis 8GB DDR3-1600 CL9 kit,8 GB,2 x,DDR3,1600 MHz
Kingston HyperX PnP 16GB DDR3-1866 CL11 kit,16 GB,2 x,DDR3,1866 MHz
G.Skill Trident Z Black/White 16GB DDR4-3200 CL15 kit,16 GB,2 x,DDR4,3200 MHz
Crucial Ballistix Tracer 8GB DDR3-1866 CL9 kit,8 GB,2 x,DDR3,1866 MHz
Crucial 8GB DDR4-2133 CL15 kit,8 GB,2 x,DDR4,2133 MHz
Corsair Vengeance Pro 16GB DDR3-2800 CL12 quad kit,16 GB,4 x,DDR3,2800 MHz
Geil Evo Leggera 8GB DDR3-1600 CL11 kit,8 GB,2 x,DDR3,1600 MHz
Kingston HyperX Beast 8GB DDR3-1866 CL10 kit,8 GB,2 x,DDR3,1866 MHz
Corsair Dominator Platinum 32GB DDR4-2666 CL15 quad kit,32 GB,4 x,DDR4,2666 MHz
G.Skill RipjawsZ 16GB DDR3-1600 CL9 quad kit,16 GB,4 x,DDR3,1600 MHz
Geil White Dragon 16GB DDR4-3000 CL14 kit,16 GB,2 x,DDR4,3000 MHz
Crucial 64GB DDR4-2400 CL17 ECC Registered quad kit,64 GB,4 x,DDR4,2400 MHz
Team Vulcan Series Blue 8GB DDR3-1600 CL9 kit,8 GB,2 x,DDR3,1600 MHz
Corsair Vengeance LPX Black 64GB DDR4-3333 CL16 quad kit,64 GB,4 x,DDR4,3333 MHz
G.Skill RipjawsX 8GB DDR3-1600 CL7 quad kit,8 GB,4 x,DDR3,1600 MHz
Corsair Dominator GT 4GB DDR3-2000 CL9 XMS kit,4 GB,2 x,DDR3,2000 MHz
G.Skill Ripjaws IV Blue 16GB DDR4-2133 CL15 quad kit,16 GB,4 x,DDR4,2133 MHz
Geil Evo Leggera 16GB DDR3-2666 CL11 kit,16 GB,2 x,DDR3,2666 MHz
Adata XPG V3 16GB DDR3-2800 CL12 kit,16 GB,2 x,DDR3,2800 MHz
Kingston HyperX Predator 32GB DDR3-1866 CL9 quad kit,32 GB,4 x,DDR3,1866 MHz
Corsair Vengeance LPX Black 64GB DDR4-2666 CL16 quad kit,64 GB,4 x,DDR4,2666 MHz
Corsair Vengeance Blue 8GB DDR3-1866 CL9 LP kit,8 GB,2 x,DDR3,1866 MHz
Kingston HyperX Savage Black 16GB DDR4-2800 CL14 quad kit,16 GB,4 x,DDR4,2800 MHz
Adata XPG Z1 8GB DDR4-2666 CL16 kit,8 GB,2 x,DDR4,2666 MHz
Corsair Vengeance 8GB DDR3-2400 CL10 kit,8 GB,2 x,DDR3,2400 MHz
Adata XPG Series 8GB DDR3-1866 CL10 kit,8 GB,2 x,DDR3,1866 MHz
Crucial 16GB DDR3-1600 CL11 kit,16 GB,2 x,DDR3,1600 MHz
Team Vulcan Series Gold LV 8GB DDR3-1600 CL9 kit,8 GB,2 x,DDR3,1600 MHz
G.Skill Ripjaws V 16GB DDR4-2800 CL15 quad kit,16 GB,4 x,DDR4,2800 MHz
Corsair Vengeance Pro Red 32GB DDR3-2400 CL11 quad kit,32 GB,4 x,DDR3,2400 MHz
Corsair Vengeance Black White LED 16GB DDR4-2133 CL15 kit,16 GB,2 x,DDR4,2133 MHz
G.Skill Ripjaws V Red 64GB DDR4-3000 CL15 octo kit,64 GB,8 x,DDR4,3000 MHz
Geil Super Luce White 16GB DDR4-3000 CL15 quad kit,16 GB,4 x,DDR4,3000 MHz
Kingston ValueRam 64GB DDR4-2400 CL17 ECC Registered quad kit,64 GB,4 x,DDR4,2400 MHz
G.Skill Ripjaws IV Red 16GB DDR4-3000 CL15 quad kit,16 GB,4 x,DDR4,3000 MHz
Corsair Vengeance Black/Red LED 32GB DDR4-2133 CL16 kit,32 GB,2 x,DDR4,2133 MHz
Kingston HyperX 4GB DDR3-1800 CL9 kit,4 GB,2 x,DDR3,1800 MHz
Corsair Vengenace LPX Black 32GB DDR4-3600 CL18 quad kit,32 GB,4 x,DDR4,3600 MHz
Kingston ValueRam 16GB DDR3-1333 CL9 ECC kit,16 GB,2 x,DDR3,1333 MHz
Corsair Vengeance LPX Black 8GB DDR4-2400 CL14 kit,8 GB,2 x,DDR4,2400 MHz
